vehicle_id,fuel_type,timestamp,distance_km,consumption_rate,total_consumption,unit
BUS_6047,Electric,2025-11-18 20:16:41,11.14,1.47,16.41,kWh
BUS_6976,CNG,2025-10-23 07:37:13,30.35,0.38,11.5,L_eq
BUS_9730,Electric,2025-11-02 00:56:08,49.86,1.1,55.03,kWh
BUS_9989,Electric,2025-11-11 15:50:46,25.62,1.41,36.09,kWh
BUS_5655,Diesel,2025-10-25 16:47:21,29.51,0.47,13.98,L
BUS_4732,Electric,2025-11-03 05:18:45,45.89,1.48,68.09,kWh
BUS_8381,Electric,2025-10-31 15:26:17,46.89,1.03,48.18,kWh
BUS_1680,Diesel,2025-10-30 01:41:41,11.09,0.33,3.64,L
BUS_8949,Electric,2025-11-07 01:38:04,23.51,1.13,26.54,kWh
BUS_4368,Hybrid,2025-11-06 04:10:30,42.36,0.29,12.2,L_eq
BUS_9518,Hybrid,2025-10-25 03:16:43,35.2,0.4,14.0,L_eq
BUS_9182,Electric,2025-11-21 11:23:48,14.22,1.38,19.59,kWh
BUS_6285,Diesel,2025-11-21 10:34:52,45.53,0.4,18.15,L
BUS_5806,CNG,2025-10-26 18:45:14,29.52,0.42,12.5,L_eq
BUS_6407,CNG,2025-10-23 10:32:02,32.25,0.2,6.48,L_eq
BUS_4875,Hybrid,2025-11-14 09:15:41,18.6,0.35,6.56,L_eq
BUS_9839,Diesel,2025-11-12 01:19:01,12.96,0.33,4.33,L
BUS_5992,Diesel,2025-10-23 06:02:57,49.94,0.4,19.82,L
BUS_7797,Electric,2025-11-19 20:24:30,13.85,1.17,16.19,kWh
BUS_2295,Diesel,2025-11-21 11:44:56,29.87,0.5,14.99,L
BUS_3233,Diesel,2025-11-07 07:33:02,16.22,0.34,5.58,L
BUS_5469,Electric,2025-11-03 05:48:29,17.25,1.43,24.71,kWh
BUS_7057,Hybrid,2025-11-03 02:00:53,10.46,0.26,2.67,L_eq
BUS_9369,Hybrid,2025-10-27 07:42:12,30.05,0.26,7.77,L_eq
BUS_2257,CNG,2025-11-14 01:48:59,12.68,0.28,3.54,L_eq
BUS_4600,Hybrid,2025-11-02 15:46:06,24.35,0.41,10.11,L_eq
BUS_2350,Diesel,2025-11-07 15:07:23,34.95,0.59,20.74,L
BUS_9155,Electric,2025-10-24 17:28:43,46.39,1.34,62.28,kWh
BUS_8552,Electric,2025-11-07 06:43:07,33.88,1.14,38.64,kWh
BUS_1967,Hybrid,2025-11-16 07:31:31,39.06,0.34,13.17,L_eq
BUS_7528,Hybrid,2025-11-02 13:53:10,26.47,0.47,12.45,L_eq
BUS_9387,Diesel,2025-10-25 15:00:26,6.68,0.43,2.88,L
BUS_5603,Electric,2025-11-20 05:04:10,49.86,1.05,52.12,kWh
BUS_5866,CNG,2025-11-21 03:54:26,18.79,0.39,7.31,L_eq
BUS_6474,Electric,2025-11-12 08:59:01,38.79,1.18,45.87,kWh
BUS_3701,Hybrid,2025-10-26 17:31:28,18.13,0.34,6.15,L_eq
BUS_8258,Hybrid,2025-11-21 10:38:38,20.16,0.31,6.22,L_eq
BUS_9334,CNG,2025-11-12 18:13:08,21.53,0.24,5.17,L_eq
BUS_4784,Electric,2025-11-19 04:34:03,16.39,1.21,19.89,kWh
BUS_9272,CNG,2025-10-28 03:29:35,11.16,0.3,3.37,L_eq
BUS_1978,Hybrid,2025-10-26 05:42:54,31.99,0.31,9.85,L_eq
BUS_3536,CNG,2025-10-25 00:45:55,36.8,0.26,9.66,L_eq
BUS_8391,Diesel,2025-10-23 16:54:29,40.86,0.56,23.03,L
BUS_3979,Electric,2025-11-09 09:45:25,39.88,1.19,47.65,kWh
BUS_4191,Electric,2025-11-06 07:03:25,6.86,1.2,8.26,kWh
BUS_7461,Electric,2025-10-25 05:49:24,9.16,1.3,11.92,kWh
BUS_7373,Diesel,2025-10-28 06:38:59,14.23,0.4,5.75,L
BUS_8889,CNG,2025-10-25 02:17:52,33.36,0.48,16.03,L_eq
BUS_3274,Diesel,2025-11-12 12:55:56,7.81,0.31,2.4,L
BUS_5523,CNG,2025-10-24 17:53:37,49.94,0.32,15.96,L_eq
BUS_8032,Electric,2025-11-05 17:17:57,18.95,0.86,16.39,kWh
BUS_4473,Diesel,2025-11-20 17:37:19,35.82,0.47,16.91,L
BUS_5988,CNG,2025-11-21 11:37:07,48.03,0.26,12.64,L_eq
BUS_4517,Hybrid,2025-11-12 01:11:20,37.86,0.49,18.67,L_eq
BUS_7347,Electric,2025-10-25 06:42:40,16.64,1.25,20.76,kWh
BUS_8045,Electric,2025-10-27 00:41:51,20.61,1.44,29.63,kWh
BUS_9361,Diesel,2025-10-24 19:03:36,21.76,0.42,9.19,L
BUS_2700,CNG,2025-11-18 05:38:34,12.62,0.34,4.26,L_eq
BUS_9237,Diesel,2025-10-24 14:52:51,48.64,0.59,28.48,L
BUS_9071,Hybrid,2025-11-05 09:39:46,9.99,0.41,4.07,L_eq
BUS_3975,Diesel,2025-11-09 14:29:16,39.5,0.34,13.57,L
BUS_7791,Electric,2025-11-10 14:03:16,39.3,0.97,38.3,kWh
BUS_7074,Diesel,2025-10-26 17:42:37,24.32,0.45,11.01,L
BUS_5660,Diesel,2025-11-21 01:16:08,18.07,0.58,10.5,L
BUS_8524,Diesel,2025-11-11 01:02:07,34.26,0.45,15.56,L
BUS_8907,CNG,2025-11-02 09:39:18,6.5,0.21,1.36,L_eq
BUS_1493,Diesel,2025-11-20 04:36:59,5.03,0.35,1.75,L
BUS_1421,Hybrid,2025-11-21 09:04:55,35.99,0.4,14.23,L_eq
BUS_5562,Hybrid,2025-10-22 14:25:03,25.34,0.45,11.47,L_eq
BUS_4985,Electric,2025-11-13 02:19:20,6.89,1.41,9.74,kWh
BUS_1038,Electric,2025-11-09 17:21:33,5.97,1.18,7.02,kWh
BUS_3375,Electric,2025-11-13 14:54:10,33.43,0.8,26.77,kWh
BUS_8721,Hybrid,2025-11-11 20:50:21,49.84,0.47,23.49,L_eq
BUS_5145,CNG,2025-11-21 04:39:28,9.97,0.47,4.68,L_eq
BUS_7328,CNG,2025-11-21 03:30:57,18.66,0.23,4.24,L_eq
BUS_2134,CNG,2025-10-27 00:03:26,7.97,0.25,2.02,L_eq
BUS_4126,Electric,2025-11-07 13:44:30,8.44,1.2,10.12,kWh
BUS_6868,Diesel,2025-10-23 08:19:10,5.58,0.45,2.53,L
BUS_6826,CNG,2025-11-13 03:05:51,41.48,0.28,11.42,L_eq
BUS_5964,Diesel,2025-11-16 04:39:24,31.33,0.54,16.83,L
BUS_9664,Hybrid,2025-11-07 00:26:00,7.12,0.26,1.88,L_eq
BUS_7266,Diesel,2025-11-19 14:54:43,32.45,0.49,15.91,L
BUS_9710,Electric,2025-10-31 10:19:01,48.22,1.44,69.39,kWh
BUS_2989,CNG,2025-10-27 07:53:48,23.59,0.32,7.52,L_eq
BUS_1984,Electric,2025-10-27 01:42:07,33.7,0.87,29.42,kWh
BUS_2554,CNG,2025-10-22 16:22:38,38.76,0.47,18.21,L_eq
BUS_1033,Electric,2025-11-19 23:29:21,32.62,1.47,48.01,kWh
BUS_1557,CNG,2025-10-25 08:45:18,16.87,0.26,4.42,L_eq
BUS_8337,Electric,2025-11-19 20:49:22,23.22,0.89,20.61,kWh
BUS_5964,CNG,2025-10-31 11:38:14,38.92,0.26,10.06,L_eq
BUS_7832,Diesel,2025-11-18 21:54:01,32.49,0.32,10.27,L
BUS_3367,CNG,2025-10-28 04:50:21,47.63,0.35,16.63,L_eq
BUS_3126,Electric,2025-11-15 18:58:08,10.69,1.46,15.6,kWh
BUS_9217,CNG,2025-11-03 12:39:17,37.64,0.31,11.51,L_eq
BUS_6409,Diesel,2025-11-08 08:07:14,48.68,0.4,19.6,L
BUS_1187,Hybrid,2025-11-11 12:34:07,20.63,0.22,4.53,L_eq
BUS_6134,CNG,2025-11-14 10:55:51,24.84,0.37,9.29,L_eq
BUS_5960,Hybrid,2025-11-21 05:24:13,10.64,0.49,5.25,L_eq
BUS_9380,Electric,2025-11-12 16:05:05,16.07,1.34,21.46,kWh
BUS_4559,Hybrid,2025-10-31 02:40:35,9.83,0.47,4.63,L_eq
BUS_8787,CNG,2025-11-02 21:21:11,39.03,0.46,17.76,L_eq
BUS_2995,Diesel,2025-10-28 18:27:37,31.06,0.5,15.48,L
BUS_9322,Electric,2025-10-24 05:24:22,13.68,1.38,18.89,kWh
BUS_9846,Electric,2025-10-25 00:32:14,15.32,1.22,18.73,kWh
BUS_7183,Electric,2025-10-28 06:49:07,41.54,0.93,38.5,kWh
BUS_5664,CNG,2025-11-06 05:10:41,20.56,0.39,8.0,L_eq
BUS_5670,Diesel,2025-11-19 11:04:40,28.76,0.59,17.0,L
BUS_8102,Electric,2025-11-12 05:51:35,28.34,1.44,40.9,kWh
BUS_5057,Hybrid,2025-11-15 23:53:41,12.81,0.45,5.73,L_eq
BUS_4860,Hybrid,2025-11-08 10:51:41,21.54,0.44,9.37,L_eq
BUS_2558,CNG,2025-11-06 04:37:14,39.39,0.2,8.04,L_eq
BUS_9950,CNG,2025-11-19 10:04:48,32.5,0.49,16.03,L_eq
BUS_5266,Diesel,2025-11-17 08:32:17,30.09,0.39,11.67,L
BUS_2986,Electric,2025-10-29 03:43:30,14.95,1.18,17.68,kWh
BUS_3104,Hybrid,2025-10-29 05:48:14,36.54,0.27,10.02,L_eq
BUS_6596,Diesel,2025-11-13 21:05:41,28.14,0.34,9.58,L
BUS_6166,Electric,2025-11-06 01:41:30,8.21,1.43,11.72,kWh
BUS_8070,Hybrid,2025-11-20 08:59:23,26.05,0.41,10.59,L_eq
BUS_7122,Diesel,2025-11-07 17:34:04,46.79,0.43,20.15,L
BUS_3987,CNG,2025-11-05 05:10:26,40.95,0.21,8.69,L_eq
BUS_1808,CNG,2025-11-08 23:46:41,24.9,0.36,9.03,L_eq
BUS_4096,Hybrid,2025-10-22 11:28:33,29.88,0.41,12.17,L_eq
BUS_1020,Hybrid,2025-11-16 05:12:05,7.79,0.41,3.16,L_eq
BUS_1009,Diesel,2025-11-19 13:18:43,16.1,0.42,6.8,L
BUS_7770,Electric,2025-10-29 02:31:53,22.48,1.42,31.98,kWh
BUS_6457,Diesel,2025-10-24 20:50:23,35.28,0.31,11.03,L
BUS_9090,Diesel,2025-11-02 14:38:10,17.05,0.35,6.0,L
BUS_5994,CNG,2025-11-15 16:53:00,37.04,0.24,8.84,L_eq
BUS_2057,Electric,2025-11-18 05:51:59,47.31,1.48,69.93,kWh
BUS_4559,Hybrid,2025-10-24 17:40:55,25.1,0.36,9.07,L_eq
BUS_3084,Diesel,2025-11-11 13:47:48,33.55,0.48,16.03,L
BUS_4352,Hybrid,2025-11-07 18:38:05,18.72,0.22,4.05,L_eq
BUS_1154,CNG,2025-10-31 13:43:32,43.26,0.27,11.56,L_eq
BUS_6118,Hybrid,2025-10-31 19:30:36,41.61,0.25,10.48,L_eq
BUS_7708,Hybrid,2025-10-31 20:32:46,37.31,0.27,10.24,L_eq
BUS_7409,Diesel,2025-10-25 09:45:22,20.49,0.56,11.55,L
BUS_5065,Electric,2025-11-07 15:59:48,36.51,0.85,30.96,kWh
BUS_2305,CNG,2025-10-31 06:40:30,28.06,0.41,11.6,L_eq
BUS_4534,CNG,2025-11-14 04:19:11,24.49,0.39,9.59,L_eq
BUS_3838,Hybrid,2025-11-13 18:37:23,46.0,0.24,10.91,L_eq
BUS_4300,CNG,2025-11-20 04:50:01,10.42,0.45,4.69,L_eq
BUS_3105,CNG,2025-11-07 03:52:20,8.71,0.4,3.5,L_eq
BUS_2536,Electric,2025-11-19 03:57:26,32.37,0.86,27.78,kWh
BUS_5684,Diesel,2025-11-18 13:36:38,9.23,0.44,4.05,L
BUS_8410,Hybrid,2025-11-07 09:07:58,45.73,0.37,16.71,L_eq
BUS_3142,Hybrid,2025-11-20 23:52:19,23.19,0.4,9.31,L_eq
BUS_8504,CNG,2025-11-05 15:09:21,43.28,0.23,9.86,L_eq
BUS_6596,Hybrid,2025-11-11 09:52:31,39.3,0.25,9.83,L_eq
BUS_6496,Diesel,2025-11-07 00:55:44,13.95,0.57,7.99,L
BUS_1543,Diesel,2025-10-29 23:07:47,17.28,0.49,8.49,L
BUS_2897,CNG,2025-10-27 04:12:59,38.98,0.31,12.02,L_eq
BUS_8699,CNG,2025-11-13 03:21:37,17.92,0.34,6.05,L_eq
BUS_5526,CNG,2025-10-24 03:13:02,13.16,0.34,4.42,L_eq
BUS_5393,Electric,2025-11-15 03:51:40,17.92,0.85,15.23,kWh
BUS_8429,Hybrid,2025-11-01 17:41:10,28.18,0.28,7.95,L_eq
BUS_1736,Diesel,2025-10-22 06:22:02,27.18,0.47,12.78,L
BUS_5996,Hybrid,2025-11-01 21:54:11,28.57,0.45,12.73,L_eq
BUS_4212,CNG,2025-11-02 06:20:55,18.4,0.35,6.51,L_eq
BUS_2392,Diesel,2025-11-13 17:36:52,8.52,0.58,4.96,L
BUS_2025,CNG,2025-11-21 08:58:46,34.7,0.4,14.0,L_eq
BUS_7798,Diesel,2025-11-01 10:23:03,22.7,0.49,11.1,L
BUS_1989,Diesel,2025-11-02 16:32:14,10.89,0.38,4.1,L
BUS_1658,Diesel,2025-11-14 10:10:11,30.49,0.54,16.4,L
BUS_4188,Electric,2025-11-07 04:18:11,49.16,0.88,43.1,kWh
BUS_4310,CNG,2025-11-09 08:01:44,37.14,0.46,17.2,L_eq
BUS_2117,Diesel,2025-11-01 01:16:15,23.15,0.39,9.1,L
BUS_8301,Electric,2025-11-10 12:27:28,29.52,1.2,35.5,kWh
BUS_7764,CNG,2025-10-31 00:43:13,48.24,0.45,21.47,L_eq
BUS_7683,Electric,2025-10-22 09:53:44,18.33,0.86,15.71,kWh
BUS_7136,Hybrid,2025-11-08 16:46:21,26.47,0.22,5.93,L_eq
BUS_7331,CNG,2025-10-22 13:35:06,9.35,0.4,3.71,L_eq
BUS_8537,Diesel,2025-10-25 15:57:46,5.47,0.33,1.83,L
BUS_9237,Hybrid,2025-11-08 11:01:41,11.46,0.36,4.09,L_eq
BUS_6653,Diesel,2025-10-23 13:01:58,20.42,0.42,8.54,L
BUS_7396,Diesel,2025-11-18 00:19:21,24.63,0.33,8.01,L
BUS_9993,Diesel,2025-10-27 16:15:54,8.59,0.38,3.31,L
BUS_7253,Hybrid,2025-10-28 23:58:13,12.67,0.31,3.93,L_eq
BUS_9969,Electric,2025-11-05 04:36:20,16.37,1.42,23.29,kWh
BUS_2365,Hybrid,2025-11-12 11:10:21,40.44,0.41,16.66,L_eq
BUS_4292,Electric,2025-10-31 12:33:23,15.95,1.26,20.09,kWh
BUS_5098,Hybrid,2025-11-19 12:26:02,15.58,0.22,3.37,L_eq
BUS_8423,Hybrid,2025-11-08 13:23:04,34.99,0.31,10.85,L_eq
BUS_8586,CNG,2025-10-24 05:12:46,48.43,0.47,22.67,L_eq
BUS_8541,CNG,2025-10-23 12:38:46,34.12,0.43,14.74,L_eq
BUS_5669,Hybrid,2025-10-31 18:03:17,39.0,0.38,14.75,L_eq
BUS_6231,Hybrid,2025-10-31 16:32:34,14.84,0.32,4.68,L_eq
BUS_1816,Diesel,2025-11-04 21:03:41,8.69,0.38,3.26,L
BUS_5078,CNG,2025-10-30 12:57:19,26.23,0.4,10.58,L_eq
BUS_9631,CNG,2025-11-01 17:08:58,26.55,0.43,11.33,L_eq
BUS_4384,Diesel,2025-11-03 19:18:38,7.45,0.4,2.99,L
BUS_9152,Electric,2025-10-30 13:06:58,41.14,0.98,40.18,kWh
BUS_8967,Electric,2025-11-07 13:58:33,10.34,0.92,9.55,kWh
BUS_9328,CNG,2025-11-18 00:06:18,45.59,0.36,16.38,L_eq
BUS_6060,Hybrid,2025-11-03 00:37:44,5.19,0.29,1.49,L_eq
BUS_4687,Diesel,2025-10-30 18:04:33,17.23,0.44,7.55,L
BUS_7354,CNG,2025-10-31 14:24:07,47.58,0.39,18.52,L_eq
BUS_6986,Diesel,2025-10-23 03:06:00,47.9,0.33,15.76,L
BUS_5498,Hybrid,2025-10-30 15:12:18,38.95,0.28,10.75,L_eq
BUS_7722,Electric,2025-11-03 19:03:56,21.84,1.16,25.28,kWh
BUS_9922,Diesel,2025-10-26 23:57:18,16.44,0.35,5.68,L
BUS_6229,Electric,2025-10-23 02:31:10,14.1,0.94,13.19,kWh
BUS_5460,Electric,2025-10-28 17:57:37,16.06,0.86,13.77,kWh
BUS_1068,CNG,2025-11-09 11:32:13,5.04,0.29,1.44,L_eq
BUS_2257,CNG,2025-10-27 11:20:53,5.99,0.38,2.3,L_eq
BUS_6542,Diesel,2025-11-07 12:18:18,37.05,0.41,15.3,L
BUS_5732,Electric,2025-11-01 07:00:15,11.41,1.09,12.49,kWh
BUS_1909,Hybrid,2025-11-05 21:29:42,22.38,0.49,10.98,L_eq
BUS_8899,Electric,2025-11-13 05:34:32,47.28,1.16,54.87,kWh
BUS_4432,Hybrid,2025-11-02 17:51:17,5.64,0.43,2.42,L_eq
BUS_7944,Electric,2025-11-09 00:43:21,16.54,1.38,22.76,kWh
BUS_3483,Diesel,2025-11-09 03:52:46,40.64,0.56,22.71,L
BUS_4635,CNG,2025-10-30 09:42:31,35.28,0.28,9.79,L_eq
BUS_3788,CNG,2025-11-16 15:58:26,21.95,0.45,9.81,L_eq
BUS_5435,Hybrid,2025-11-21 08:08:42,26.29,0.45,11.77,L_eq
BUS_4823,Electric,2025-11-12 03:22:41,34.55,1.12,38.8,kWh
BUS_2262,Electric,2025-10-25 06:13:49,13.19,1.41,18.53,kWh
BUS_8128,CNG,2025-10-27 20:06:53,29.38,0.31,9.1,L_eq
BUS_6369,Diesel,2025-10-29 02:20:08,28.67,0.34,9.83,L
BUS_6769,Electric,2025-10-28 10:26:48,18.21,0.98,17.85,kWh
BUS_4032,Electric,2025-10-31 07:00:28,28.67,1.14,32.57,kWh
BUS_5433,Hybrid,2025-10-31 09:23:05,41.92,0.24,10.24,L_eq
BUS_4890,CNG,2025-11-16 22:31:52,41.76,0.48,19.99,L_eq
BUS_1900,Diesel,2025-11-09 10:41:23,45.52,0.52,23.64,L
BUS_2997,Hybrid,2025-11-09 06:05:56,9.92,0.39,3.88,L_eq
BUS_1455,Diesel,2025-11-06 12:30:01,9.05,0.51,4.62,L
BUS_2458,Diesel,2025-11-20 04:35:07,23.29,0.51,11.87,L
BUS_8278,Hybrid,2025-11-11 22:30:38,39.04,0.23,8.91,L_eq
BUS_3431,Diesel,2025-11-02 22:58:51,35.26,0.31,10.79,L
BUS_2848,Electric,2025-10-24 07:52:52,42.29,1.23,52.19,kWh
BUS_9268,CNG,2025-11-20 23:47:04,44.97,0.25,11.37,L_eq
BUS_9982,Electric,2025-11-19 14:20:39,43.54,0.9,39.04,kWh
BUS_7446,Electric,2025-10-31 06:22:47,48.42,0.98,47.54,kWh
BUS_4446,CNG,2025-11-17 01:55:33,23.03,0.41,9.46,L_eq
BUS_7284,CNG,2025-11-05 08:48:27,23.88,0.39,9.32,L_eq
BUS_8890,Hybrid,2025-10-29 07:09:10,41.62,0.23,9.64,L_eq
BUS_7966,Hybrid,2025-11-06 23:50:08,24.35,0.38,9.37,L_eq
BUS_5473,CNG,2025-11-03 02:02:09,48.04,0.31,14.69,L_eq
BUS_4894,Electric,2025-10-24 16:06:40,49.71,1.26,62.66,kWh
BUS_3387,CNG,2025-11-04 16:22:08,31.03,0.3,9.36,L_eq
BUS_8695,CNG,2025-10-28 05:23:41,16.67,0.37,6.23,L_eq
BUS_4720,Hybrid,2025-11-15 18:14:12,40.21,0.24,9.8,L_eq
BUS_4903,Electric,2025-11-19 10:33:54,13.43,1.27,17.01,kWh
BUS_9253,CNG,2025-11-14 19:46:31,28.0,0.42,11.73,L_eq
BUS_9336,CNG,2025-11-01 05:50:21,34.47,0.21,7.25,L_eq
BUS_9057,Electric,2025-10-26 00:54:24,39.06,1.11,43.25,kWh
BUS_9680,Hybrid,2025-11-13 22:25:37,36.4,0.35,12.76,L_eq
BUS_5230,CNG,2025-11-20 22:27:16,6.78,0.37,2.5,L_eq
BUS_2695,Diesel,2025-10-25 05:38:33,38.53,0.37,14.44,L
BUS_5519,Electric,2025-10-30 05:08:03,35.08,1.37,47.93,kWh
BUS_5876,CNG,2025-11-15 18:38:16,8.96,0.25,2.23,L_eq
BUS_5738,Hybrid,2025-11-09 22:14:51,32.65,0.38,12.28,L_eq
